Category:Alfonso X of Castile
Category:Alford, Harry L.
Category:Alford, J.
Category:Alford, Kenneth J.
Category:Alfred, Alfred d'
Category:Alfred, Lou H.
Category:Alfvén, Hugo
Category:Alger, Robert
Category:Algier, J.
Category:Alhan, V.
Category:Ali Rıza Bey, Kaptanzade
Category:Ali-Zadeh, Franghiz
Category:Aliani, Nicola
Category:Alici, Guido
Category:Alıcıoğlu, Şafak
Category:Alink, Bert
Category:Alió, Francisco
Category:Aliseda, Jerónimo de
Category:Aliyev, Rauf Tofig
Category:Alizadeh, Agshin
Category:Alkan, Charles-Valentin
Category:Alkan, Gustave
Category:Alkan, Maxime
Category:Alkan, Napoléon
Category:Alkauskas, Giedrius
Category:Allahverdiyev, Jeyhun Kerim
Category:Allair, Louis
Category:Allan, Bob
Category:Allan, Claude S.
Category:Allan, Edward
Category:Allan, George
Category:Allan, James Geoffrey
Category:Allandale, Fred
Category:Allard, Henri
Category:Allard, Michel
Category:Allegri, Filippo
Category:Allegri, Gregorio
Category:Allegri, Lorenzo
Category:Allegrini, Giovanni
Category:Allen, Benjamin Dwight
Category:Allen, Charles N.
Category:Allen, Chester G.
Category:Allen, Edgar
Category:Allen, Edward
Category:Allen, Euphemia
Category:Allen, Francis D.
Category:Allen, George Benjamin
Category:Allen, George Nelson
Category:Allen, George W.
Category:Allen, Henry A.
Category:Allen, Nathan Hale
Category:Allen, Paul Hastings
Category:Allen, Robert L.
Category:Allen, Robert William Otto
Category:Allen, Ruby Galbraith
Category:Allen, Thomas S.
Category:Allende, Pedro Humberto
Category:Allevi, Giuseppe
Category:Allier, Gabriel
Category:Allihn, Max
Category:Allin, Albert D.
Category:Allincourt, S. d'
Category:Allison, Richard
Category:Allitsen, Frances
Category:Allix, Paul
Category:Allman, G.
Category:Alm, Anna
Category:Almada, Christian Alejandro
Category:Almada, Nicolas Alfredo
Category:Alman, Samuel
Category:Almandoz, Norberto
Category:Almayrac, Guillaume Frédéric
Category:Almeder, Hugo
Category:Almeida e Mello, António de
Category:Almeida, Alexandre Guilherme de
Category:Almeida, Carmen Borges de
Category:Almeida, F. V. de
Category:Almeida, Francisco António de
Category:Almeida, H. de
Category:Almeida, Herculando José d'
Category:Almeida, Irineu de
Category:Almeida, José Jacinto de
Category:Almenräder, Carl
Category:Almorox, Juan Alvárez de
Category:Alnæs, Eyvind
Category:Aloisi, Giovan Battista
Category:Aloiz, Vladislav
Category:Alombert, Jeanne
Category:Alonso, Alberto
Category:Alonso, Francisco
Category:Alonso, Luis
Category:Alpaerts, Flor
Category:Alpaidze, Manana
Category:Alpen, Hugo
Category:Alpert, S. L.
Category:Alphen, Robert
Category:Alphonse, Maxime
Category:Alphonse, Thurner
Category:D'Alquen, Frank
Category:D'Alquen, Franz Maria
Category:D'Alquen, Johann
Category:Alquier, A. L.
Category:Alquier, Maurice
Category:Alschausky, Joseph Serafini
Category:Alsina y Maristany, Juan
Category:Alsina, Carlos J.
Category:Alsuyet, Claudio
Category:Alt, Georg Martin
Category:Altan, Torumtay
Category:Altavilla, Alfonso
Category:Altbayer, Bertram
Category:Alteirac, Auguste
Category:Altenburg, Johann Ernst
Category:Altenburg, Michael
Category:Alterman, Bob
Category:Altès, Ernest Eugène
Category:Altès, Joseph-Henri
Category:Althaus, Basil
Category:Althoff, Edith
Category:Altınsoy, Anıl
Category:Altman, Galina
Category:Altmann, Hans
Category:Altnikol, Johann Christoph
Category:D'Alton-Shée, Valentine
Category:Alvarado, Alberto M.
Category:Alvarado, Diego de
Category:Alvarenga, Francisco
Category:Álvarez Alonso, Antonio
Category:Alvarez Alvarez, Teófilo
Category:Álvarez, Benjamín
Category:Álvarez, Carlos
Category:Alvarez, Fermin María
Category:Alvarez, Hermogenes
Category:Álvarez, Ignacio
Category:Alvarrado Boffil, Jayzen James
Category:Alveri, Giovanni Battista
Category:Alves de Melo, Hércules
Category:Alves, Benício Francisco
Category:Alvim, Lidia F.
Category:Alwens, Charles
Category:Alwens, L.
Category:Alwood, Richard
Category:Alyabyev, Aleksandr
Category:Alzedo, José Bernardo
Category:Amacher, Amelia
Category:Amadé von Várkony, Thaddäus
Category:Amade, August
Category:Amadei, Albert
Category:Amadei, Amedeo
