Anonymous
Collections
Meyerbeer, Giacomo
Milhaud, Darius
Moeran, Ernest John
Missa, Edmond
Molter, Johann Melchior
Moniuszko, Stanisław
Mondry, Nathan Adam
Monteverdi, Claudio
Monte, Philippe de
Morales, Cristóbal de
Moór, Emanuel
Morley, Thomas
Moscheles, Ignaz
Morse, Theodore F.
Moszkowski, Moritz
Mourey, Colette
Mozart, Wolfgang Amadeus
Mullen, Alfred Frederic
Munier, Carlo
Mussorgsky, Modest
Myaskovsky, Nikolay
Nadaud, Gustave
Nanino, Giovanni Maria
Nazareth, Ernesto
Neapolitan Folk Music
Nepomuceno, Alberto
Nehls, Ulrich
Neukomm, Sigismund
Netzel, Laura
Neustedt, Charles
Ngo, Ethan
Nichifor, Serban
Niemann, Walter
Nielsen, Ludolf
Nielsen, Carl
Nielsen, Dan Ehlert
Nolda, Andreas
Nowowiejski, Feliks
Noskowski, Zygmunt
Novegno, Roberto
Nowakowski, Józef
O'Neill, Francis
Oesten, Theodore
Oberthür, Charles
Offenbach, Jacques
Olsen, Ole
Oliveira, Jailton de
Onslow, George
Oliveira, Manoel Dias de
Omid, Aryan
Ornstein, Leo
Oriwoh, Edewede
Ostijn, Willy
Pachelbel, Johann
Pachman, Jason L.
Paganini, Niccolò
Paisiello, Giovanni
Palestrina, Giovanni Pierluigi da
Palmgren, Selim
Pape, Gerard
Parker, Horatio
Parodi Ortega, Luis Félix
Parry, Charles Hubert Hastings
Pepusch, John Christopher
Pergolesi, Giovanni Battista
Pérez, Sergio Aarón
Perosi, Lorenzo
Pessard, Émile
Peters, Rob
Pezel, Johann Christoph
Peyer, Johann Baptist
Pettee, William
Pevenage, Carl Van
Piccinni, Niccolò
Pierné, Gabriel
Planquette, Robert
Plante, Cyril
Pleyel, Ignaz
Ponce, Manuel
Popper, David
Porpora, Nicola Antonio
Popp, Wilhelm
Poulenc, Francis
Praetorius, Michael
Pozzoli, Ettore
Praeger, Ferdinand
Prokofiev, Sergey
Psimikakis-Chalkokondylis, Nikolaos-Laonikos
Purcell, Henry
Quantz, Johann Joachim
Rachmaninoff, Sergei
Queval, Christophe
Raff, Joachim
Rameau, Jean-Philippe
Randhartinger, Benedict
Ravel, Maurice
Ravina, Jean Henri
Rauchenecker, Georg Wilhelm
Rebikov, Vladimir
Reger, Max
Reicha, Anton
Reichardt, Johann Friedrich
Regnart, Jacob
Reinecke, Carl
Reinhold, Hugo
Reis, Elvis Washington
Reis, Julio
Reissiger, Carl Gottlieb
Renard, Casimir
Respighi, Ottorino
Rheinberger, Josef Gabriel
Rhené-Baton, Emmanuel
Reznicek, Emil von
Ries, Ferdinand
Rinaldi, Giovanni
Rimsky-Korsakov, Nikolay
Rodríguez Peris, Martín José
Roger-Ducasse, Jean
Rogers, James Hotchkiss
Rolla, Alessandro
Roman, Johan Helmich
Romberg, Bernhard
Rollinson, Thomas H.
Ropartz, Guy
Root, George Frederick
Rore, Cipriano de
Rondeau, Michel
Rossini, Gioacchino
Roussel, Albert
Rowley, Alec
Roullet, Hervé
Rubinstein, Anton
Russell, Henry
Rupès, Georges
Rummel, Joseph
Rzewski, Frederic
Saint-Saëns, Camille
St. George Tucker, Tui
Sagreras, Julio Salvador
Salieri, Antonio
Saldiën, Jacques
Sammartini, Giuseppe
Saman, Rob
Sanderson, Wilfred
Sarasate, Pablo de
Sardelli, Federico Maria
Saragoza, Justin
Saral, Ali Riza
Satie, Erik
Sauter, Louis
Scarlatti, Domenico
Scarlatti, Alessandro
Schaffrath, Christoph
Scharwenka, Xaver
Scharwenka, Philipp
Schein, Johann Hermann
Schmitt, Florent
Schoenberg, Arnold
Schoonenbeek, Kees
Schubert, Franz
Schubert, Camille
Schumann, Robert
Schütt, Eduard
Schütz, Heinrich
Schwartz, Jean
Schytte, Ludvig
Scott, Cyril
Scriabin, Aleksandr
Senfl, Ludwig
Sermisy, Claudin de
Sibelius, Jean
Sigfús Einarsson
Silva, Wenyo de Oliveira Aragão da
Sinding, Christian
Singelée, Jean Baptiste
Simpson, Daniel Léo
Simpson, Cameron Lee
Sjögren, Emil
Sitt, Hans
Smetana, Bedřich
Smith, Sydney
Snuggs, Colin Peter
Söderman, August
Sor, Fernando
Sorg, Andreas
Sousa, John Philip
Souto, Eduardo
Sowerby, Leo
Spada, Luca
Spencer, Émile
Spohr, Louis
Spindler, Fritz
St. Clair, Richard
St. Pierre, Anthony
Stamitz, Carl Philipp
Stanford, Charles Villiers
Stankovych, Tatiana
Steibelt, Daniel
Stella, Simone
Sterkel, Johann Franz Xaver
Stenov, Michael
Stewart, Samuel Swain
Stoltzer, Thomas
Stöhr, Richard
Stölzel, Gottfried Heinrich
Strauss, Richard
Strauss Jr., Johann
Strauss Sr., Johann
Stravinsky, Igor
Strauss, Josef
Strauss, Eduard
Strauss, Isaac
Strakosch, Maurice
Stults, Robert Morrison
Strohbach, Siegfried
Sullivan, Arthur
Sveinbjörn Sveinbjörnsson
Sweelinck, Jan Pieterszoon
Sydeman, William Jay
Sychra, Andrei
Sysmoebius, Z Q
Szymanowski, Karol
Tallis, Thomas
Taneyev, Sergey
Tartini, Giuseppe
Tárrega, Francisco
Taubert, Wilhelm
Tchaikovsky, Pyotr
Tavares, Luciano
Teilman, Christian
Tegnér, Alice
Telemann, Georg Philipp
Teixeira, Álvaro Sílvio
Thalberg, Sigismond
Thomé, Francis
Thomas, John Rogers
Thuille, Ludwig
Tinel, Edgar
Tinel, Jef
Tonoli, Giampietro
Tomkins, Thomas
Toker, Hakan Ali
Torelli, Giuseppe
Torre, Salvador
Toub, David
Tosti, Francesco Paolo
Trabaci, Giovanni Maria
Trovato, Angelo Maria
Tucker, Henry L.
Turina, Joaquín
Turchetto, Andrea
Tupinambá, Marcelo
Valente, Vincenzo
Van Alstyne, Egbert
Van Hoorick, Geert
Vanhal, Johann Baptist
Vaughan Williams, Ralph
Vecchi, Orazio
Verotta, Davide
Vermeersch, Peter
Victoria, Tomás Luis de
Vierne, Louis
Vieuxtemps, Henri
Vilbac, Renaud de
Villa-Lobos, Heitor
Viëtor, Alba Rosa
Vincent IV, Teo
Villiers, Pierre de
Violette, Andrew
Vivaldi, Antonio
Visser, Dick
Volkmann, Robert
Von Tilzer, Harry
Von Tilzer, Albert
Wachs, Paul
Wagenseil, Georg Christoph
Wagner, Richard
Waldteufel, Emile
Wallace, William Vincent
Weber, Carl Maria von
Weckerlin, Jean-Baptiste
Weber, Kristof J.
Webster, Joseph Philbrick
Weidt, Albert John
Weingartner, Felix
Wert, Giaches de
Wenrich, Percy
Weyse, Christoph Ernst Friedrich
Widor, Charles-Marie
Willaert, Adrian
Willan, Healey
Wilm, Nicolai von
Winner, Septimus
Wolf, Hugo
Wollenhaupt, Hermann Adolf
Wot, Felix Firmiana
Wroński, Adam
Xavier, José Maria
Wydżga, Jan Tomasz
Zachow, Friedrich Wilhelm
Zamecnik, John Stepan
Żeleński, Władysław
Zelenka, Jan Dismas
Ziehrer, Karl Michael
Zhang, Shuwen
Zintl, Frank
Zitterbart Jr., Fidelis
Zwaag, Wim
